Área/Região,Bairro,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Região de Planejamento 1.1 - Centro,Centro,22400,23749,23078,23472,24604,0,16549,20453,19460,31489,30775,35533,45533,47787,51857,45187,32418,24996,28859,32924,33850,26870,24654,16333,14404,20277,17421,14925,13545,14537,13543,14298,13628,15166
Região de Planejamento 1.1 - Centro,Paquetá,0,0,0,0,0,0,0,0,0,0,0,6654,14877,19117,10644,11963,9914,6151,5466,5355,6715,6741,1206,6660,6585,0,0,0,0,0,0,0,0,0
Região de Planejamento 1.1 - Centro,Portuária,10047,8577,8725,9956,14727,0,17270,30543,24121,22996,18734,19620,20877,27448,23279,31227,27916,18688,22877,18032,20705,15948,14031,14756,17532,21167,16263,16725,13194,17589,20865,19320,16100,12883
Região de Planejamento 1.1 - Centro,Rio Comprido,12179,13593,12190,16005,12151,0,17228,18991,24245,19308,16109,15887,20520,30895,35412,39627,24846,19516,23256,13705,20159,20139,19259,20145,18348,20544,21169,19140,19078,23650,32527,25622,24104,20940
Região de Planejamento 1.1 - Centro,Santa Teresa,13960,7211,6831,7756,10790,0,5939,9743,8745,8394,8116,8424,11509,14125,10767,9820,8013,8245,9163,7973,9534,7107,3339,3774,2946,3581,6004,6188,6301,4354,0,0,0,0
Região de Planejamento 1.1 - Centro,São Cristóvão,43149,20687,21578,24663,23826,0,18625,30445,26983,29923,37051,29653,36083,43441,40302,45719,33587,25632,31072,20965,23877,29754,33802,34622,39363,39490,37493,25302,22309,22861,27932,25704,28780,28726
Região de Planejamento 2.1 - Zona Sul,Botafogo,33655,23686,21826,20026,18264,0,19950,25141,24000,20607,17025,20188,25235,28068,25889,25497,27292,28595,27267,28751,32157,30875,29650,28990,26396,28119,25523,20909,19339,20877,22710,22066,22749,24225
Região de Planejamento 2.1 - Zona Sul,Copacabana,14942,16999,14952,15813,15698,0,18280,25323,15860,18200,16459,19109,21868,25375,25794,20483,20856,22383,21586,31189,27909,35728,37684,36685,29568,31010,28189,23391,20317,20293,19422,17450,17705,23897
Região de Planejamento 2.1 - Zona Sul,Lagoa,18335,16136,16062,16591,25085,0,10875,12193,46052,44473,42573,45097,27672,28950,39660,23978,28787,24674,21632,25132,21074,25016,33058,24978,26767,42926,40961,37603,36710,39322,33275,31757,32485,29848
Região de Planejamento 2.1 - Zona Sul,Rocinha,0,0,0,0,0,0,0,0,0,0,0,16195,35382,40992,28356,27222,31665,23362,18687,11971,15523,10721,2585,10705,11471,0,0,0,0,0,0,0,0,5214
Região de Planejamento 2.2 - Tijuca,Tijuca,22775,21628,23986,17678,10721,0,15266,19863,22401,18016,14760,17018,19529,16842,18030,21372,27176,22802,21909,22967,24439,23926,21630,21310,20235,23604,21642,19538,19060,19143,17265,16546,19657,19376
Região de Planejamento 2.2 - Tijuca,Vila Isabel,22571,32137,32554,34549,26240,0,22389,31600,29922,24266,18129,20841,25067,24064,26831,22778,23139,23844,22563,19840,20090,18622,15893,15648,17579,20112,16407,16855,14001,13960,16023,13362,13393,13723
Região de Planejamento 3.1 - Ramos,Maré,0,0,0,0,9398,0,0,0,0,0,0,21321,52140,33866,25204,25591,29531,36895,28974,51112,36553,52709,11081,45056,39902,0,0,0,0,0,0,0,0,0
Região de Planejamento 3.1 - Ramos,Ramos,55165,34856,44000,53715,38751,0,39918,46168,54655,89160,88853,81907,88050,89940,79105,45817,58826,52982,58198,17123,37908,21962,62659,18773,16626,46316,43591,39637,38995,45974,54203,51363,64201,59761
Região de Planejamento 3.2 - Méier,Jacarezinho,0,0,0,0,0,0,0,0,0,0,0,4024,5436,0,0,10652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Região de Planejamento 3.2 - Méier,Méier,46832,61081,64267,70642,34245,0,60449,64472,40552,46334,41587,41392,43573,59747,105271,54787,63432,73599,50474,56680,63018,59684,58204,60622,56754,62350,57708,47274,41556,41734,51535,46150,38691,40564
Região de Planejamento 3.3 - Madureira,Irajá,45895,16450,19582,20377,35893,0,27947,11958,15327,37665,50559,40300,35384,45677,35984,39509,43425,41890,32571,33498,35563,32123,32463,30829,33574,36455,35037,27352,26193,31407,36125,38763,43293,33720
Região de Planejamento 3.3 - Madureira,Madureira,25191,25104,29608,28988,43224,0,64816,25164,31941,38746,42091,54108,71369,77210,63930,61216,71694,75071,67727,61335,60689,53866,58010,55627,46717,53928,47045,43024,44714,44054,46161,37773,38074,42310
Região de Planejamento 3.4 - Inhaúma,Complexo do Alemão,0,0,0,0,0,0,0,0,0,0,0,1789,4743,5848,6936,25591,19954,6805,7511,11585,8116,13177,2770,11264,9976,18422,12118,12861,11182,9251,6406,7706,14624,12748
Região de Planejamento 3.4 - Inhaúma,Inhaúma,0,0,0,0,25498,0,53176,69499,31010,32610,52258,43734,41371,44440,40109,60734,64321,52288,51792,46038,40797,41421,38369,39442,37309,36132,35292,35599,31773,36906,31570,24859,27239,27660
Região de Planejamento 3.5 - Penha,Penha,18562,33027,31248,34268,32568,0,129495,95844,53805,66595,67945,56106,62191,45169,27090,35083,36756,35153,38162,30936,32998,30720,31788,29164,25332,28298,25837,25589,29653,30630,29897,29997,34993,30117
Região de Planejamento 3.5 - Penha,Vigário Geral,0,0,0,0,0,0,0,0,0,0,0,0,0,11231,17176,50843,29780,32701,30591,21593,23930,21636,23347,22296,19151,19899,18063,19309,15743,15266,13467,14723,19149,19208
Região de Planejamento 3.6 - Pavuna,Anchieta,0,0,0,0,31284,0,28710,18912,19162,22491,24521,24317,30837,38957,30894,25682,30844,32027,31387,23931,24899,25389,26412,29953,27768,28566,30878,28264,20107,24345,24279,24227,24538,24398
Região de Planejamento 3.6 - Pavuna,Pavuna,2997,26567,29945,32183,23851,0,24358,16322,26612,45987,35514,31500,36365,32401,28675,41022,44924,46103,47052,37768,38524,40955,47191,48298,49217,55326,57224,46418,38390,37404,43486,23720,27327,32440
Região de Planejamento 3.7 - Ilha do Governador,Ilha do Governador,0,0,0,0,22798,0,41003,54635,48413,53718,42673,37508,56944,41752,35001,40168,35114,50353,46577,35606,39272,40513,40523,42077,32095,34958,32215,25676,27416,23884,28980,26207,29272,27463
Região de Planejamento 4.1 - Jacarepaguá,Cidade de Deus,0,0,0,0,0,0,0,0,0,0,0,3557,6612,9279,10843,7614,1716,2802,4295,15724,7186,16704,3941,15474,13837,0,0,0,0,0,0,0,0,0
Região de Planejamento 4.1 - Jacarepaguá,Jacarepaguá,15673,26363,30548,26610,34773,0,79841,114551,101952,65829,66416,81165,73394,97182,71312,73547,92737,99628,85552,71692,77344,66815,82223,61897,55349,75395,72560,63575,58066,64599,71244,83777,86468,65504
Região de Planejamento 4.2 - Barra da Tijuca,Barra da Tijuca,3089,10441,12886,9852,13681,0,25383,13336,21572,24679,23296,25788,24547,41740,37272,39924,38919,44968,42796,44201,43424,42332,39258,37211,44048,51842,59408,49862,45175,46321,53164,49474,55022,47169
Região de Planejamento 5.1 - Bangu,Bangu,38155,59700,61336,63948,69706,0,88039,44333,59923,93882,78817,87356,111834,100898,104419,122883,118804,128324,129564,98700,107165,104847,104209,96700,99386,82453,77878,68325,64856,70993,70361,60488,65055,69686
Região de Planejamento 5.1 - Bangu,Realengo,0,0,0,0,0,0,63025,35264,34794,53830,51238,52691,61584,64907,38724,41395,55677,69195,76811,62689,61232,59807,58155,53435,53699,46530,45283,39958,39239,37646,36310,35159,45094,56944
Região de Planejamento 5.2 - Campo Grande,Campo Grande,6354,26507,23045,32578,47545,0,68031,27256,35129,45643,43340,58337,78513,68245,62817,84569,101507,129310,144105,108459,114178,102146,104053,94958,85128,74925,69467,74389,71390,65705,64557,65197,74611,86692
Região de Planejamento 5.3 - Santa Cruz,Santa Cruz,7423,16446,19065,18591,22779,0,52875,30127,35099,30279,28580,25768,38999,32849,21460,24932,30614,36821,24512,30933,22587,17608,31797,40906,38310,38218,36375,30220,28312,24012,25612,31584,41907,63950
Região de Planejamento 5.4 - Guaratiba ,Guaratiba,0,0,0,0,0,0,12867,6191,6045,7552,5781,9332,11796,12682,11056,16137,17273,14285,14729,13425,13566,10196,15836,16416,18248,20143,21860,22439,19465,17061,14060,28387,33326,34566