Ano,Total,Domiciliar,Limpeza P̼blica,Lixo Recuperado Total
1995,2820086,997871,896549,0
1996,3326538,1277686,1029178,0
1997,3249973,1478809,901328,0
1998,2984499,1506670,861692,0
1999,3398740,1463643,997786,0
2000,3196239,1439526,967313,0
2001,3102433,1425175,1038696,0
2002,3618076,1451955,1242770,6480
2003,3655059,1385930,1306224,34750
2004,3864797,1445489,1196024,17241
2005,3759710,1465993,1232086,6597
2006,4036093,1515791,1285962,3629
2007,3941598,1519338,1315377,3357
2008,4287635,1576935,1282449,8406
2009,4001768,1678320,1101689,4032
2010,4531693,1650464,1225546,7797
2011,4093129,1739145,1191016,2581
2012,4097869,1837011,1213482,2858
2013,3899224,1879550,1180172,7245
2014,3494486,1772570,1033623,1261
2015,3514343,1880062,1060101,2994
2016,3257743,1786728,1007808,29145
2017,3145393,1757900,900733,38198
2018,3247210,1781200,842721,10889
2019,3211509,1730573,867005,0
2020,3139233,1748091,913275,40152
2021,2983890,1723028,865145,0
2022,3153485,1641547,965066,47270
2023,3256833,1670095,989245,0